desc
"西湖边的一个小小过街通道竟然美的有些过分。之所以如此吸引人，是因为玻璃顶面非常干净，让整个空间明亮通透。杭州真的是一座在细节上让人喜欢的城市。这里的绿色特别舒适，充满了治愈感。每天都能发现新的惊喜。从这个通道走到西湖的南山路，沿途有一大片高大的梧桐树，中国美术学院也近在咫尺，散步非常惬意。

拍摄建议：使用手机拍摄或携带广角镜头，最好选择中午有阳光的时候前往，这样可以捕捉到绝美的夏日感觉。下雨天也不错，雨水落在屋顶上形成的圆圈很有氛围感。

位置：杭州定安路涌金门地下通道

我是大之喵，一个热爱探索城市的旅行者。

#记录我的城市# #自然风光分享# #假日citywalk# #杭州旅游# #西湖# #浪漫生活的记录者# #周末去哪儿# #治愈系# #氛围感# #暑你会晒#"
"接下来的杭州将是春和景明🌸。比起人挤人的西湖，樱花季的中国院子更是美到极致。小桥流水、亭台楼阁，栽满了樱花。江南庭院的中式美学令人赞叹不已！等到蓝调时分，樱花在暖光烘托下，冷暖对比，更加梦幻🌙。下个月，约上小伙伴，我们樱花树下不见不散。

🌸 中国院子·梦溪苑
注意：这里有一个打卡扭蛋机，但现在已经没有扭蛋了。
来武林路还可以顺便逛逛武林夜市。
推荐：
- 杭州葱包烩（谢霆锋同款）：15元
- 茉莉冰豆浆（常温的）：15元
- 龙井冰淇淋（第二份半价）：15元
- 叶玫贵螺蛳粉（没有科技与狠活）：19元
- 嵊州小笼包（一份六个）：10元

🌈孩儿巷：咖啡店超多
- Pasto COFI COFI Coffee ideas拉菲脑袋
- 慢熟面包店bud bread
- 猫森商店
- 橡皮文具店（很多可爱小文具）
- 妙妙磨古屋（衣服，发饰）
- BFF weekend（小蛋糕，马卡龙）
- 波奈古着屋

有很多可以出片的地方，可以根据需要选择哦！（最重要的！穿一双合适的鞋子，别累到啦！）

#杭州 #杭州CityWalk #杭州CityWalk路线 #杭州旅游 #杭州美食 #杭州探店 #杭州拍照 #杭州宝藏服装店 #杭州网红打卡地"
"每个来杭州旅游的人应该都会去一趟西湖，但是可能会忽略西湖边这些人少景美的景点。我推荐你花一天时间，避开人流，来一场city walk，非常舒服惬意。

City walk路线：
- 柳浪闻莺 → 万松书院 → 虎跑公园 → 理安寺 → 韩美林艺术馆

具体介绍如下：

- **柳浪闻莺**：很喜欢这个翠绿秘境，桥洞加倒影拍照效果很好。这个机位藏在公园里，导航“横河桥”就能找到。公园湖边也很美，可以一起逛逛。
  
- **万松书院**：建议先去白蛇飞渡拍照，空中栈道很出片。再到万松书院，一路往上打卡，雨天更有氛围感。
  
- **虎跑公园**：本人超爱的氛围感公园，来这里感觉心都静了。虎跑泉水很甘甜，很多人会来这里取水回家。
  
- **理安寺**：相比灵隐寺的人挤人，我更推荐这个无人仙境。
  
- **韩美林艺术馆**：藏在植物园里的艺术馆，巨大的佛头拍照赞爆朋友圈。建议早点来，可以避开人群。

这些地方都是小众且风景优美的景点，适合想要避开人群、寻找宁静的游客。"
"在拱墅区萍水街和朋友暴走街头8小时，打卡12家店！每家店都很好喝好吃，不踩雷！

路线图放在最后，欢迎抄作业！
- 路线：
  🚇 萍水街C口出 ➡ marufuwa ➡ 海绵客厅 ➡ moon cafe ➡ 澄沙ann ➡ 囤囤馒头商店 ➡ Flaoting&Ciao's ➡ 人生无限公司 ➡ 城西银泰 ➡ 巧可栗栗 ➡ 慢熟 ➡ 甜包谷 ➡ 细冰 ➡ 立文夏 ➡ 朝麦

- 面包店：
  👉 marufuwa 🌟🌟🌟🌟 日式面包店，更喜欢她家logo。店内等面包时外卖单络绎不绝。
  👉 囤囤馒头商店 🌟🌟🌟🌟🌟 有创意的馒头店，店面设计适合拍照打卡！可以现场蒸馒头尝味道。
  👉 Flaoting&Ciao's 🌟🌟🌟🌟 窗边的吧台看外面风景很惬意，有几款蛋糕是jellycat的样子，看着可口。
  👉 慢熟 🌟🌟🌟🌟 街边社区面包店，又韩又美拉德。红豆碱水看着很有食欲，周边也很可爱。
  👉 甜包谷 🌟🌟🌟🌟 没被挖掘出来的宝藏店铺，面包种类超级多。
  👉 朝麦 🌟🌟🌟🌟 喜欢古早蛋糕的可以来尝一尝，路过时味道真的很香。

- 甜品店：
  👉 海绵客厅 🌟🌟🌟🌟🌟 没进去探店，有点可惜。这家蛋糕真的没差评，都说好吃。
  👉 澄沙 🌟🌟🌟🌟🌟 布丁巴菲好看好吃，但价格有点小贵。
  👉 巧克栗栗 🌟🌟🌟🌟 会带爱吃巧克力的朋友去的店，巧克力都很漂亮，适合送人。
  👉 细冰 🌟🌟🌟🌟 citywalk一路，吃个刨冰真的被拯救了！

- 咖啡：
  👉 moon cafe 🌟🌟🌟🌟🌟 店面大，装修很有格调，还适合拍照。推荐百香果气泡水，很适合夏天！
  丰潭街上还有很多家店，如sheep sheep、自在乐土、hobo barkey（这家网红店，超多人打卡）

- 简餐：
  👉 人生无限公司 🌟🌟🌟🌟🌟 很适合来吃个brunch，食物装盘拍着很好看。下次会来尝试一下。
  👉 立文春 🌟🌟🌟🌟🌟 实惠又好吃，吃过多次都没踩雷。

#杭州citywalk# #杭州探店# #周末去哪儿# #杭州咖啡店探店# #杭州面包店# #萍水街# #城市探寻计划# #跟我来探店# #宝藏小店# #探店打卡#"
"这条路线连接了杭州的经典景点，既能够欣赏风景，又能逛街和享受美食，非常适合家人、闺蜜或情侣出游。

路线：大马弄 → 十五奎巷 → 南宋御街 → 西湖天地 → 湖滨银泰 → 武林夜市

地图见P7

第一站：大马弄  
这里有一个市集，可以看到许多老人晒太阳、买菜，是一个感受杭州本土风土人情的好地方。可品尝美食包括酥鱼、油墩子、葱包烩、粽子和馄饨。

第二站：十五奎巷  
这里是皇城脚下的老杭州居民区，导航到“巴尔干客栈”可以找到拍照机位。

第三站：南宋御街  
这里有众多店铺提供试吃试喝，如南宋胡记和布兰兔的试吃试喝非常值得一试。

第四站：涌金广场、西湖天地  
从南宋御街出来，导航至西湖天地，沿着西湖大道步行可达。抵达西湖天地后可沿湖边散步，尤其是夕阳西下时景色更美。

第五站：湖滨银泰  
从西湖天地沿湖一路步行至此，晚上7:30可观看免费的西湖音乐喷泉。

第六站：武林夜市  
这里有各种品牌奶茶店、小吃、小饰品和香薰等，非常好逛。

标签：#杭州旅游# #周末# #徒步# #假日citywalk# #我的旅行故事# #游记# #城市摄影# #旅游# #周末去哪儿# #国内旅游日常# #人文景点分享# #美食日常#"
"这些开了多年的老字号小吃和苍蝇馆子都是我在杭漂十几年间一直自费吃过多次的，希望能帮到大家！基本都靠近地铁龙翔桥站，记得收藏好地址哦！

1. 泮芳春煎饺（鼓楼店）
   - 地址：中山南路479号
   - 杭州最便宜的米其林餐厅，煎饺1元一个，拌面7元一碗。

2. 知味观
   - 地址：仁和路83号
   - 杭州当之无愧的老字号，有很多分店，湖滨的这家是总店。

3. 李犟大爆鳝面
   - 地址：延安路179号
   - 西湖边的老底子非遗美食，距离西湖百米内，是真正的西湖边面馆。

4. 绝美嘉海鲜馄饨（武林店）
   - 地址：天水街道万寿亭街31号
   - 十年老店，分店很多，推荐过很多人去吃他们家的砂锅馄饨煲，都称赞不已。

5. 富春王记烧饼（中山中路总店）
   - 地址：中山中路399-1号
   - 十年老店，老板靠着做烧饼买了好几套房，多数时间都需要排队。

6. 小白餐馆
   - 地址：光复路122号附近日新桥弄2号
   - 藏在巷子里的老店，开了二十年，专做附近居民生意，好吃又实惠。

7. 三毛烧烤（邮电路店）
   - 地址：上城区邮电路5号
   - 西湖附近开了三十多年的烧烤店，真的反复吃了十几年，营业至凌晨两点，是我的私藏夜宵地。"
"上有苏杭，下有天堂。这个秋天总要来杭州旅行一次吧。比起杭州的名片——西湖，我更爱这5条本地人推荐的Citywalk路线。风景美的同时，蕴含着杭州老底子的味道，可以看到杭州除了西湖之外的另一种美。

1. **人文运河Walk**
   - 步行：4km
   - 用时：3.5小时
   - 路线：香积寺 → 大兜路历史街区 → 小河直街 → 小河公园 → 拱宸桥西历史文化街区
   - 特点：见证了世界文化遗产——京杭大运河的变迁，有着江南水乡邻水而居的特色，手工、咖啡、餐厅、非遗等，很有艺术气息。

2. **南宋遗韵Walk**
   - 步行：4.5km
   - 用时：4.5小时
   - 路线：五柳巷历史街区 → 德寿宫 → 十五奎巷 → 大马弄 → 积义亭 → 白蛇飞渡
   - 特点：南宋皇城根下的人间烟火，很多老底子的巷弄，老杭州的味道。

3. **治愈公园Walk**
   - 步行：3km
   - 用时：3小时
   - 路线：虎跑 → 杭州动物园 → 满觉陇村 → 太子湾 → 九曜山
   - 特点：杭州最美的公园，神秘又宁静。最后登顶九曜阁，可以俯瞰浴鹄湾的西湖美景。

4. **绿色秘境Walk**
   - 步行：6km
   - 用时：5小时
   - 路线：九溪公交站 → 九溪烟树 → 理安寺 → 杨梅岭 → 白鹤峰
   - 特点：绿野仙踪，到处都是参天大树、茶田溪流，还有精致的村庄和千与千寻汤屋，俯瞰西湖的秋千。

5. **都市夜游Walk**
   - 步行：3.5km
   - 用时：2.5小时
   - 路线：亚洲花卉主题园 → 钱江世纪公园 → 沿江绿道 → 亚运主题公园 → 奥体中心
   - 特点：不是纽约曼哈顿！杭州也有繁华的都市氛围。钱塘江两岸的高楼大厦，晚上定期有灯光秀，晚上吹江风散步很舒服。

我是@圆周旅迹，做的旅行攻略，各个景点之间的距离一目了然，真的超级方便。还可以帮忙优化行程，不走回头路。本J人看到这样好用的程序狂喜！大家可以参考我的行程自行删减规划，操作很简单。

#J人旅行指南 #圆周旅迹 #杭州旅行 #杭州旅游 #杭州citywalk #杭州周末去哪儿 #被低估的宝藏小城 #国风小城 #1分钟搞定旅行规划"
"如果说西湖是杭州的面子，那么西湖沿线那些神秘、小众、雅致的神仙园子，才代表着大杭州城真正的里子！作为一名土生土长的本地土著，给你码一篇假期来杭州西湖旅行的宝藏指南！住、行、景点、游玩时间，以及最强避人攻略！记得收藏！

- **游玩时间**：
  - 早上：07:00-09:00
  - 傍晚：16:00-19:00

能避开集中性人流。

- **游玩景点**：

  - **孤山**：
    - 地址：孤山敬一书院
    - 描述：西泠桥左手边就是孤山后门，古银杏林就在孤山敬一书院内，满地层层叠叠的落叶，洒满屋檐的黄叶，再加上边上的木质回廊，很像穿越小说的银杏林。
  
  - **玛瑙寺**：
    - 地址：葛岭路17号
    - 描述：遗落在北山路上的避世之所，寺内古树参天，池塘锦鲤，圆门曲径，莲池花坛，非常适合爱拍照的小姐姐。
  
  - **曲院风荷**：
    - 地址：北山街89号
    - 描述：枫树，密林，泛着青黄，池水里有野鸭子时不时扑扇翅膀，色彩各异的木船停泊在光影中，秋日阳光会将所有景物都朦上最美的滤镜…
  
  - **郭庄**：
    - 地址：杨公堤28号
    - 描述：西湖的后花园，极为小巧精致，花窗、连廊、亭台、楼阁，就连残荷、游鱼和树影都能拍出诗情画意。
  
  - **茅家埠**：
    - 地址：杨公堤17号
    - 描述：遗失天堂水域的世外桃源，枫叶、水杉、亭子、溪水、栈桥、茅草屋，一切都像是野生的。
  
  - **鹆鹄湾**：
    - 地址：杭州三台山鹆鹄湾景区
    - 描述：杭州本地人私藏的后花园，远山、湖水、藤蔓，除飞鸟和野鸭，偶有清理湖面的小船划过，这里没有车来人往喧嚣，只有宁静与唯美。沿石板小路一直往里走，你能看见三台山一带极致的清幽。

- **出行交通**：

  - 公交1314路，沿线全是西湖精华景点。
  - 景点间距不超过2公里，建议步行。
  - 景点间距不超过5公里，共享单车1.5元/小时。"
"City walk路线：灵隐→曲院风荷→西泠印社→断桥残雪

1. 灵隐寺➕永福寺：早上八点到拍到的丁达尔光真的很美！

2. 曲院风荷：小桥、摇橹船、红枫，还有很梦幻的金鱼缸…

3. 西泠印社：这里的星巴克有个绝美红枫长椅机位，看西湖水肥～

4. 断桥残雪：正好可以赶上夕阳，也是在断桥边的星巴克拍一扇窗的浪漫和最美S弯！

#杭州 #西湖 #杭州旅游 #冬天的西湖 #后劲很大的旅行地 #这一年我看过的风景 #慢慢游的这一年 #用一场旅行跨进2025 #藏在小城里的冬天 #我的旅行实况 #出发就是最好的计划 #不为打卡的旅行 #新年旅行第一站 #反向旅行出门溜溜"
"春节游杭州，除了西湖，我建议你走一走这条老街路线：

👉坝子桥站 - 坐运河水上巴士7号线到梅花碑 - 五柳巷历史街区 - 德寿宫 - 望仙阁 - 十五奎巷 - 大马弄 - 鼓楼 - 南宋御街 - 河坊街 - 吴山广场

景点：
#坝子桥# #运河水上巴士7号线# #梅花碑# #五柳巷历史街区# #杭州德寿宫# #望仙阁# #十五奎巷# #大马弄# #鼓楼# #南宋御街# #河坊街# #吴山广场#

Tips:
1. 如果要坐运河水上巴士，建议一大早就去，如果起得晚，可以直接从五柳巷开始逛起。
2. 水上巴士有小船和大船交替开，大船有窗户和空调，冬天也不会觉得冷。
3. 南宋御街和河坊街的夜景不错，如果时间足够，也可以从晓霞弄一路往上爬到城隍阁和江湖汇观亭俯瞰杭城美景。
4. 春节期间老街活动很多，春节氛围很浓。
5. 这条路线离杭州火车站很近。

这条路线提供了丰富的历史文化体验，适合春节假期探索杭州的老城区。"
天气凉快起来又可以去Citywalk啦！
"周末在杭州游玩时，可以尝试这两条文艺的Citywalk路线：

**路线1：**
- **起点：** 地铁武林广场站
- **途径：** 武林路 → 狮虎桥路 → 孩儿巷 → 中山北路 → 屏风街

**打卡攻略：**
- 从武林广场地铁站出发，先去 **Cheese Me起司咩热狗店**，这是个很有特色的店铺。
- 接着步行至 **武林路女人街**，这里有很多咖啡馆和精致的女装店。皇后公园已经重新开放，还有复古市集可以逛。
- **狮虎桥路** 的尽头有一个巨大的扭蛋机，沿途还有很多网红古着店。
- **孩儿巷** 是一条安静的小巷，有许多咖啡馆和有意思的小店，还可以参观 **陆游纪念馆** 和 **橡皮文具店**，新开的猫森商店也很值得一看。
- **中山北路** 是一条充满宝藏的小街，有很多你喜欢的小店，非常适合放松休闲。
- 最后来到 **屏风街**，这条街与中山北路相连，也有很多值得一探的店铺。

**路线2：**
- **地点：** 萍水街
- **打卡点：** 
- 这里是城西最宝藏的一条街，有各种特色的小吃店、面包店和咖啡店。特别是 **囤囤馒头店** 和 **立文春/立文夏**，非常适合一个人慢慢品尝。

杭州的天气越来越热，出门记得带上水杯随时补充水分。我这次选择了 **哈尔斯元气泡饮杯**，它拥有超大的独立茶仓，可以方便地分离茶水，无论是泡水果茶还是花茶都非常合适。这款杯子还与ROY6进行了联名设计，贴纸非常可爱，使得整个杯子更加生动有趣。夏天一定要记得多喝水哦！ 

#周末去哪儿 #杭州citywalk #杭州拍照 #杭州旅行 #周末打卡 #哈尔斯"
"P1 📍杭州小冰岛 超级梦幻的场景 冰冷的水可以露营 遛狗 杭州的水下走廊 在杭州没有任何相似的场景～

P2 📍艺创凤凰创意艺术园区 在小冰岛景区的山脚下 水泥城堡 建筑独树一帜 园区环境超好 绿色大草坪 古着店、买手店随意逛

P3 📍长河历史文化街区 超级韩的艺术街区！蝴蝶结颜色经常更迭 我最喜欢蓝色 真的太美了

P4 📍安吉白茶观景台 杭州周边游最值得来的地方之一！真的太美了 拍到了人生照片 这一扇窗真的好美～

P5 📍西湖摇橹船 建议乌龟潭路线 我是三月份坐的 可想现在快入夏了 绿树成荫 更美了

P6 📍太子湾 不一定要去看郁金香 太子湾的小溪也很美

P7 📍西溪湿地富贵农场 莫奈花房 很适合小姐妹们去拍照 布置真的很浪漫

P8 📍灵隐寺 祈福许愿

P9 📍虎跑公园 现实版的绿色仙踪 漫步森林里大口吸氧

P10 📍茅家埠 西湖最佳city walk路线 浴鹄湾➡️乌龟潭➡️茅家埠➡️曲院荷风 杭州当地人认证的

P11 📍桐庐大奇山 大奇山的水真的很清 锦鲤很多 果冻湖和悬崖瀑布 晴天真的美翻了"
国庆期间在杭州西湖旅游的逛吃指南，包括拍照、旅游攻略、下午茶、美食以及Citywalk的建议。
